date,births
1/1/1959,140
1/2/1959,128
1/3/1959,120
1/4/1959,124
1/5/1959,176
1/6/1959,116
1/7/1959,180
1/8/1959,172
1/9/1959,152
1/10/1959,108
1/11/1959,152
1/12/1959,132
1/13/1959,220
1/14/1959,188
1/15/1959,180
1/16/1959,148
1/17/1959,200
1/18/1959,172
1/19/1959,164
1/20/1959,208
1/21/1959,136
1/22/1959,212
1/23/1959,156
1/24/1959,128
1/25/1959,148
1/26/1959,172
1/27/1959,156
1/28/1959,140
1/29/1959,176
1/30/1959,152
1/31/1959,96
2/1/1959,92
2/2/1959,124
2/3/1959,176
2/4/1959,152
2/5/1959,200
2/6/1959,152
2/7/1959,204
2/8/1959,124
2/9/1959,124
2/10/1959,204
2/11/1959,144
2/12/1959,180
2/13/1959,204
2/14/1959,136
2/15/1959,208
2/16/1959,188
2/17/1959,180
2/18/1959,184
2/19/1959,156
2/20/1959,192
2/21/1959,148
2/22/1959,140
2/23/1959,208
2/24/1959,168
2/25/1959,180
2/26/1959,156
2/27/1959,148
2/28/1959,120
3/1/1959,140
3/2/1959,112
3/3/1959,180
3/4/1959,136
3/5/1959,144
3/6/1959,200
3/7/1959,176
3/8/1959,156
3/9/1959,128
3/10/1959,156
3/11/1959,180
3/12/1959,172
3/13/1959,156
3/14/1959,124
3/15/1959,108
3/16/1959,120
3/17/1959,168
3/18/1959,184
3/19/1959,164
3/20/1959,144
3/21/1959,180
3/22/1959,184
3/23/1959,172
3/24/1959,152
3/25/1959,136
3/26/1959,140
3/27/1959,224
3/28/1959,144
3/29/1959,128
3/30/1959,200
3/31/1959,164
4/1/1959,156
4/2/1959,164
4/3/1959,188
4/4/1959,136
4/5/1959,144
4/6/1959,132
4/7/1959,140
4/8/1959,152
4/9/1959,152
4/10/1959,136
4/11/1959,212
4/12/1959,136
4/13/1959,136
4/14/1959,152
4/15/1959,140
4/16/1959,128
4/17/1959,168
4/18/1959,136
4/19/1959,184
4/20/1959,120
4/21/1959,184
4/22/1959,180
4/23/1959,216
4/24/1959,136
4/25/1959,148
4/26/1959,140
4/27/1959,160
4/28/1959,168
4/29/1959,232
4/30/1959,204
5/1/1959,128
5/2/1959,140
5/3/1959,152
5/4/1959,132
5/5/1959,156
5/6/1959,188
5/7/1959,152
5/8/1959,208
5/9/1959,120
5/10/1959,136
5/11/1959,160
5/12/1959,140
5/13/1959,168
5/14/1959,164
5/15/1959,168
5/16/1959,152
5/17/1959,96
5/18/1959,136
5/19/1959,172
5/20/1959,144
5/21/1959,220
5/22/1959,164
5/23/1959,180
5/24/1959,164
5/25/1959,148
5/26/1959,172
5/27/1959,156
5/28/1959,132
5/29/1959,172
5/30/1959,160
5/31/1959,152
6/1/1959,180
6/2/1959,184
6/3/1959,136
6/4/1959,140
6/5/1959,192
6/6/1959,204
6/7/1959,144
6/8/1959,132
6/9/1959,184
6/10/1959,168
6/11/1959,192
6/12/1959,136
6/13/1959,164
6/14/1959,140
6/15/1959,160
6/16/1959,136
6/17/1959,120
